artists,artist_popularity_api,artist_peak_popularity,artist_track_count
Madeleine Peyroux,18.75,39,8
Madeline The Person,4.24,72,34
Mademoiselle K,30.0,30,1
Madhur Sharma,69.2,76,5
Madhusree;Naresh Iyer,54.0,58,4
Madi Diaz,37.0,37,1
Madism;MKJ;Felix Samuel,74.0,74,1
Madison Beer,72.0,80,3
Madison Cunningham,0.0,0,1
MADKID,53.5,56,6
Madness,20.0,20,1
Madonna,19.5,76,4
Madrigal,77.0,77,1
Maduk;Veela,32.82,50,11
Madurai Somasundaram,35.0,35,1
Mae,30.0,30,1
Mae Ji-Yoon,45.0,45,1
Maelo Ruiz,32.51,40,39
Maestro,39.0,39,2
Maga;JVLA,42.67,47,3
Maga Bo;BNegão,17.5,18,2
Magazine,28.5,32,2
Magda,18.0,18,1
Magda Niewińska,30.0,30,1
Magdalena,40.0,40,1
Magdalena Fleitas,41.0,41,1
Magdalena Wasylik,28.67,33,3
Maggie Reilly,35.0,35,1
Maggie Rogers,0.5,1,4
Magia;Tá Na Mente,45.0,45,1
MAGIC!,65.67,81,3
Magic Piano Covers,40.5,43,2
Magic System;Chawki,46.75,68,4
MAGICMINT,47.0,47,1
Magik Band,30.0,30,1
Maglore,41.17,44,6
Magníficos,38.5,40,2
Magn Us,49.0,49,1
MAGNAVOLT,32.25,48,4
Magneto,31.2,35,15
Magnitude,29.5,31,2
Magnus Johansson,35.0,35,1
Magnus Uggla,40.0,45,9
Magrudergrind,15.0,22,11
Mahalia,0.0,0,27
Maharajan,23.0,35,15
Mahdyar,11.0,20,2
Mahesh Raghvan,37.67,39,3
Mahmut Orhan;Colonel Bagshot,48.09,57,11
Mahom;Spelim,27.0,27,1
Maiara & Maraisa,44.0,44,1
Maikel Delacalle,0.0,0,2
Maikkis,61.0,61,2
Mainstreet;Azevedo;PL Quest;Orochi;Shenlong;Kizzy,43.0,43,1
Maire Brennan,36.14,48,7
Mairead Nesbitt,19.5,20,2
Maisie Peters,3.84,73,38
MAISONdes;和ぬか;asmi,65.0,65,1
Maite Hontelé;Oscar D'León,28.0,28,1
Maite Kelly,0.0,0,5
Maj Majid,27.8,37,5
MAJAN,37.0,37,1
Majestic;Boney M.,54.67,80,3
Majid Jordan,8.88,69,8
majiko,55.0,62,8
Majoe,38.0,38,1
Major Lazer;Justin Bieber;MØ,58.05,73,20
Major RD;Bagua Records;Gooba,46.57,50,7
Major7,37.0,40,2
major7th,47.0,47,1
Makalister;BK;Menestrel;Djonga;Sant;JXNV$;Pineapple StormTv;Slim Beat,49.0,49,1
Makano,39.33,40,3
Makaveli,65.33,70,3
Make Them Die Slowly,13.4,16,5
Make Them Suffer,44.0,58,9
Maki Ohguro,37.0,37,1
MAKJ;Timmy Trumpet;Andrew W.K.,63.0,63,1
makko;BIBIZA,38.0,38,1
Mako,49.0,49,1
Makoto;Karina Ramage,18.57,34,7
Maksim Dark;Carbon,34.0,34,1
Malú,0.0,0,2
Malía,43.0,43,1
Mala Rodríguez,0.0,0,5
Malaa,47.67,62,3
Malandra Jr.,47.0,50,2
Malbec;Siuzanna,53.0,53,1
Malcolm McLaren,49.0,49,1
Malcolm Yelvington,16.5,20,2
Maldita Nerea,28.0,56,2
Maldita Vecindad Y Los Hijos Del 5to. Patio,38.38,42,8
Maleek Berry,58.0,62,3
Malena Ernman;Så som i Himmelen Ensemblen,25.25,29,4
Malena Muyala,21.38,28,8
Malente,29.5,45,2
Malevolence,24.33,25,3
MALFNKTION,30.75,35,4
Malibu,33.5,50,4
Malie Donn,27.5,30,2
Malik Djoudi,15.67,23,3
Malik Dub,28.0,28,1
Malik Jeremiassen,59.0,59,1
Malin Brown,26.5,29,2
Malini Awasthi,31.0,31,2
MALIQ & D'Essentials,39.6,41,10
Malito Malozo;Divino;Bayriton,48.5,49,4
Malla 100 Alça,38.75,40,4
Malladi Brothers,35.0,35,1
Mallorca Allstars;Isi Glück;Ikke Hüftgold;Almklausi;Lorenz Büffel;Carolina;Honk!,31.0,39,2
Mallorca Cowboys,33.0,33,2
Malon,26.51,39,39
Malt,38.8,40,5
Maluma,74.8,81,30
Mama Gecko,29.2,40,5
MAMAMOO,66.8,72,5
Mambalam Sisters,32.5,33,2
Mame Khan,40.31,59,16
Mammoth Grinder,22.5,23,2
Mamonas Assassinas,42.0,42,2
Mampi Swift,18.0,20,2
Mamta Sharma,58.75,63,4
Man,18.0,18,1
Man Cub,48.0,51,6
Man Is The Bastard,16.29,23,7
MAN WITH A MISSION,56.0,56,9
Manal,35.0,35,2
Manan Bhardwaj,66.5,68,2
Manas Roy,49.0,49,1
Mance Lipscomb,31.0,31,2
Mancha De Rolando,47.0,47,1
Mandelbarth,55.0,55,2
Mando Diao,28.4,31,5
Mandragora,34.32,58,41
Mandrill,21.2,34,10
Mandy,47.0,47,1
Mandy Patinkin;Original Broadway Cast Of Evita,20.8,22,5
Maneli Jamal,29.79,36,14
Manes,18.0,20,6
Maneva,45.78,57,103
Manfred Mann's Earth Band;The Disco Boys,35.0,35,1
maNga,39.33,41,3
Manger Cadavre?,14.85,21,13
Mangoo;Behmer;Lunis;ILURO,52.0,60,2
Manik Varma,36.0,38,2
Manikka Vinayagam,48.11,55,9
MANILA GREY,56.0,56,1
Manila Killa;TRACE,43.44,47,9
Manim Vaqueiro,40.33,44,6
Maninder Buttar,67.38,73,8
Manizha,49.0,49,1
Manjari,28.93,55,15
Mankirt Aulakh,63.0,63,1
Mannequin Pussy,22.5,24,2
Mano;K. S. Chithra,57.0,57,2
Mano Le Tough,40.75,45,4
Manoel Cordeiro,18.0,18,1
Manoella Torres,36.22,46,9
Manolakas,61.0,61,1
Manolito y Su Trabuco,28.0,28,1
Manolo Garcia,34.67,63,3
Manolo Lezcano,34.0,34,1
Manolo Muñoz,34.67,40,6
Manowar,0.0,0,2
Mansfield.TYA,25.86,31,7
Mansij;Max B Groove,40.0,40,1
Mantra Deva,22.0,22,1
Mantu Chhuria,27.56,31,9
Manuş Baba,41.0,41,1
Manu Dibango,21.5,49,12
Manu Gavassi,47.0,47,1
Manudigital;Joseph Cotton,57.0,57,2
Manuel Carrasco,35.0,64,9
Manuel Riva;IRAIDA,47.75,55,4
Manuel Silva,23.4,24,5
Manuel Straube,24.5,31,2
Manuel Turizo,98.0,98,4
Manuela Villa,28.0,28,1
Manuelcha Prado,26.0,29,4
Manutti,46.5,48,2
Maoli,54.0,54,1
Maquiny;Orochi,48.0,48,1
María Caneda;Carlos Báez;Sandra Carvajal,24.0,25,2
María Isabel,28.0,28,1
MAR ABERTO,44.11,51,9
Mara Lima,39.25,40,4
Maraca,37.5,38,2
Maranatha! Kids,28.5,29,6
MARAUDA;Scarlxrd,50.33,54,3
Marc Acardipane;Da TMC,27.5,31,4
Marc Almond,12.5,25,2
Marc Anthony,29.24,76,33
Marc Benjamin,70.0,70,1
Marc Broussard,27.0,28,2
Marc DePulse;Rafael Cerato;Hadar;Malandra Jr.,35.0,35,1
Marc Holland,45.0,45,1
Marc Maron,21.5,23,2
Marc Pircher,21.67,34,3
Marc Pociello;Angela Aloy;Eduard Doncos,43.5,44,2
Marc Ribot;Los Cubanos,21.0,21,2
Marc Ribot y Los Cubanos,21.0,21,1
Marc Romboy,32.17,49,6
Marc Seguí,66.4,81,5
Marc Streitenfeld,61.0,61,2
Marc Wavy,55.0,55,1
Marcel Depuis,52.0,52,1
Marcel Dettmann,16.5,17,2
Marcel Fengler,17.0,17,1
Marcelinho Da Lua;Ultramen,38.0,38,1
Marcelo Aguiar,45.5,47,4
Marcelo D2;Claudia,52.5,65,4
Marcelo Falcão,46.92,50,12
Marcelo Markes,46.58,58,12
Marcelo Nova;Raul Seixas,35.0,35,1
Marcianeke,43.5,50,8
Marcin Franc,22.67,31,3
Marcin Siegienczuk,30.5,32,2
Marcio Seixas,19.0,19,1
Marco Antonio Muñiz,32.82,42,22
Marco Antonio Solís,0.5,1,2
Marco Antonio Vázquez,30.5,33,2
Marco Carola,18.75,24,12
Marco Kloss,27.5,32,4
Marco Kraats,27.0,33,8
Marco Luka,54.0,60,5
Marco Mzee,23.0,23,1
Marco Wagner;Dave Brown,28.38,33,8
Marconi Union,58.14,68,7
Marcos Antônio,40.75,47,8
Marcos & Belutti;Dilsinho,46.33,49,3
Marcos Freire,42.0,45,5
marcos g,59.0,59,1
Marcus Layton;Indiana,63.0,63,1
Marcus Salles,45.0,46,4
Marcy Playground,59.0,59,1
Marcynho Sensação,47.33,51,3
Marduk,17.5,19,8
Marea,56.33,59,3
Marek Bois,21.0,21,1
Marek Hemmann,25.25,41,4
Maren Morris,71.67,75,3
Mares,36.0,37,2
Maretu,63.0,65,2
Margaret Cho,22.0,22,1
Margaret Keys,19.0,19,1
Margareth Menezes;Maestro Tiquinho;Fernando Nunes;Sergio Fouad,36.0,36,1
Margarita Siempre Viva,37.0,38,3
Mari Borges;Sarah Beatriz,50.0,50,2
Maria Bethânia,40.02,45,48
Maria Callas,27.0,31,2
Maria Cristina Brancucci,23.5,28,2
Maria Del Sol,38.0,41,2
Maria Graña,20.2,22,5
Maria Maksakova,0.0,0,6
Maria Rita,39.71,44,14
Mariah Angeliq,0.1,2,86
Mariana Aydar;Chico César,40.25,41,4
Mariana Fagundes;Luíza & Maurílio,47.0,47,1
Mariana Nolasco,42.0,45,2
Mariana Valadão,38.0,38,3
Marianne Faithfull,14.5,29,2
Mariano Barba,45.14,51,7
Mariano Mores,20.0,22,2
Maribou State;Holly Walker,61.2,68,20
Marie Antoinette (Original Soundtrack),24.5,29,2
Marie-Flore,33.0,35,3
Marie Fredriksson,36.83,38,6
Marie Protivová,61.5,62,2
Mariene De Castro,38.0,39,3
Marika Hackman,54.5,55,2
Marika Takeuchi,49.71,52,7
Marilina Bertoldi,44.0,44,2
Marilyn Manson,17.84,73,106
Marin Mazzie;Peter Friedman,22.67,24,3
MARINA,70.67,78,9
Marina De Oliveira;Novo Som;Alex Gonzaga;PG;Jozyanne;Brother Simion;Marquinhos Gomes;Fernanda Brum;Banda & Voz;Ellas;Cassiane;Rayssa e Ravel;Raquel Mello;Eyshila;Kleber Lucas,43.0,43,1
Marina Herlop,15.5,17,2
Marina Kaye,49.0,49,1
Marina Lima,41.0,41,4
Marina Sena,46.5,47,2
Marine Friesen,42.5,43,2
Marinella Necchi,57.0,57,1
Mario Bradley,26.0,26,1
Mario del Monaco,20.0,21,3
Mario Frangoulis,22.5,26,2
Mario Lanza,12.67,19,3
Mario Ochoa,15.0,30,2
Mario Pintor,36.0,36,1
Maris Racal,27.5,28,2
Marisa Monte,41.25,47,12
Marissa Jaret Winokur,29.0,34,2
Mariya Takeuchi,51.9,65,10
Marizu,17.33,19,3
Mark Benson,54.29,57,7
Mark Broom,2.29,16,7
Mark Brymer,54.5,55,2
Mark D. Pencil,11.67,23,12
Mark Dekoda,37.85,67,13
Mark Farina,14.57,48,42
Mark Knight;Armand Van Helden,12.0,40,5
Mark Morrison,75.0,75,2
Mark Northam,38.33,39,3
Mark Oblea,32.0,32,1
Mark 'Oh,27.75,30,4
Mark Ronson;Bruno Mars,80.5,83,2
Mark & Sarah Tillman,47.0,47,1
Mark Seibert,21.33,23,6
Mark Sixma,49.33,50,6
Mark Van Dale;Enrico;Vengaboys,31.0,31,1
Mark Vincent,19.0,19,1
Mark Whalen,49.0,49,1
Mark With a K,26.67,51,15
Marko Hietala,19.0,19,1
Marko Maunuksela,19.67,25,3
Markoolio,35.0,36,2
Marksman,58.0,58,2
Markus Becker;Die Mallorca Cowboys,14.35,33,20
Markus Krunegård,13.6,34,5
Markus Schulz;Delacey;GXD,38.5,39,2
MARLENA,58.33,63,3
MaRLo;HALIENE,45.0,45,1
Marlon,65.0,65,1
Marmalade,57.0,57,1
Marmi;Aitana,61.0,61,1
Maroon 5,79.67,85,3
Maroon Town,26.0,26,1
Marquez The Greatest,23.0,23,1
Marquinho Art'Samba;De Mangueira,39.0,39,1
Marquinho Sathan,37.0,37,1
Marquinhos Gomes,44.75,46,8
Marry,13.8,30,10
Marsa Sakamoto;Toshiko Fujita,30.0,30,1
Marsh,37.0,37,1
Marsha Ambrosius,35.5,37,2
Marshall Crenshaw,31.67,34,3
Marshall Jefferson,16.86,62,21
Marshall Masters;The Ultimate MC,32.83,56,6
Marshmello;Bastille,44.06,87,178
Marsimoto,38.0,38,1
Mart'nália,39.2,44,5
Marta Jobim,50.0,50,1
Marta Sánchez,13.0,26,2
Marteria,39.0,39,1
Martha Reeves & The Vandellas,7.1,67,10
Marthyan,29.14,50,7
Marti West,50.0,50,1
Martin and Rose Music,56.5,60,2
Martin Garrix,58.85,79,118
Martin Ikin;Dope Earth Alien,55.0,57,5
Martin Jensen,62.75,69,12
Martin Landström,63.0,63,1
Martin Lawrence,21.2,25,10
Martin Shamoonpour,0.17,2,12
Martin Short,21.5,22,2
Martin Solveig;Ina Wroldsen,23.91,65,11
Martina Topley-Bird,49.5,50,2
Martinho Da Vila,41.89,44,9
Maru Gomes,58.0,58,1
Marvin Gaye,6.0,82,38
Marvin Rainwater,24.0,24,1
Marvin Santiago,0.0,0,2
Marvvila,46.0,63,10
Mary Costa,31.33,49,3
Mary J. Blige,0.2,2,10
Mary Lattimore,3.0,3,1
Mary's Blood,19.0,19,1
Masacre,22.0,23,2
Masaharu Fukuyama,32.11,35,37
Masaki Suda,62.2,63,5
Masala Coffee,37.31,43,13
Masappan,33.5,34,2
Masato(coldrain);coladrain;Hiroaki Tsutsumi,48.0,48,1
Masayoshi Yamazaki,44.8,53,5
Masayuki Suzuki;伊原六花,59.5,65,4
Mascarpone,40.0,40,1
Mase,5.4,27,5
Masicka,29.31,54,13
Maskatesta,37.62,42,8
Masked Intruder,22.5,29,14
Masked Wolf,79.0,79,1
MASN,56.94,69,32
Massacre,39.14,41,7
Massagem Guru,23.0,24,3
Massane;Benjamin Roustaing,52.0,53,2
Massano,44.5,56,6
Massilia Sound System,32.0,32,1
Massive Attack,38.68,71,50
Master Haratt,47.0,47,1
Master KG;Nomcebo Zikode,25.33,74,3
Masters,31.0,31,1
Masters of Ceremony,19.0,24,7
Mastifal,23.55,28,11
Mastodon,17.19,65,21
Mastruz Com Leite,42.15,49,13
Mat.Joe;Ninetoes,3.0,3,3
Mat Kearney,51.5,59,2
Mat Zo;Chuck D,35.33,38,6
Matador,39.6,48,10
Matadoria,34.8,56,5
Matanza,40.25,49,69
Matata,20.0,20,1
Matchbox,22.5,23,2
Matchbox Twenty,53.4,71,10
Matchy,39.0,39,1
Mateo;Arinity;BIMINI,58.0,58,1
Material Issue,21.0,23,3
Mateus Aleluia;Fabiana Aleluia,40.0,40,1
Mateus e Cristiano,46.0,46,1
Mathame,47.0,47,1
Mathan;Naven,37.44,57,9
Matheus Balo,41.25,43,4
Matheus & Kauan,48.77,56,48
Matheus Marcolino,51.0,51,1
Matheusinho;Ferrugem,42.0,42,1
Mathew Jonson;Stephan Bodzin,36.0,36,1
Mathew Joseph,37.0,37,1
Mathew T John,31.5,36,4
Mathias.,37.0,37,1
Matias Aguayo,10.0,20,2
Matilda Mann,51.5,55,4
Matisse & Sadko;Hanne Mjøen,55.33,60,6
Matisyahu,55.0,55,1
Matmatah,31.0,31,1
Mato Seco,43.4,44,5
Matogrosso & Mathias,47.77,56,22
Matoma;Brando,11.5,68,18
Matooma,59.0,59,1
Matrioska,33.0,33,1
Matrix;Futurebound;Luke Bingham,37.5,41,2
Matrix & Futurebound,26.5,48,14
Mats Bergström,45.0,45,1
Mats Rådberg;Rankarna,36.2,38,5
Mats Ronander;Kim Larsen,36.0,36,1
Matt Braunger,23.14,27,7
Matt Cavenaugh;Josefina Scaglione,22.0,22,1
Matt Costa,0.0,0,3
Matt Dahan;Kelly Lynne D'angelo;Dylan Saunders;Jeff Blim;Joe Viba,24.0,26,3
Matt Fax,49.0,49,1
Matt Hansen,64.5,65,4
Matt Hartke,65.0,65,3
Matt Johnson,50.33,53,3
Matt Komo;Emily Zeck,46.0,46,2
Matt Large,20.0,48,54
Matt Maher,64.0,64,2
Matt Maltese,70.0,73,8
Matt McCarthy,21.0,21,1
Matt Nash,53.5,55,2
Matt Nathanson,57.33,71,3
Matt Pless,26.0,26,1
Matt Redman,47.15,66,26
Matt Sassari,61.5,79,8
Matt Simons;Deepend,70.0,70,2
Matt Taylor,36.0,36,1
Matt White,60.0,60,1
Matteo Tura,37.33,38,3
Matteo Vitanza,30.0,30,1
Matthew Dear,30.5,42,2
Matthew Harvey,47.0,47,2
Matthew Morrison,27.6,33,5
Matthew Perryman Jones,53.0,53,1
Matthew Sweet,21.5,23,4
Matthew West,0.0,0,4
Matthias Carras,30.0,30,1
Matthias Reim,24.1,35,30
Mattia Vlad Morleo,52.33,54,3
Mattias Krantz,35.0,35,1
Mattos Nascimento,39.75,42,4
Matty Valentino;DJ MOX;Ivan Fillini;Toby Tyrol;Xandl,24.0,24,1
Matusa,30.0,30,1
Matvey Emerson;DJ Frog;Mastik Lickers;ZAPOLYA,50.14,61,7
Matze Knop,0.0,0,1
Matzic,22.0,22,1
Maukka Perusjätkä,32.0,32,1
Maunalua,24.0,26,2
Maur,59.2,62,5
Maurício & Eduardo;Humberto & Ronaldo,53.0,53,1
Mauren Mendo,33.0,33,1
Maurice Haase;Andi & Dörk,31.0,31,1
Maurice Joshua;Chantay Savage,7.0,8,4
Maurice Ravel;Duo Synopsis,0.0,0,10
Maurice West,26.0,52,2
Mauricio Luz;Pedro Lopes,20.0,22,3
Maurizio Malagnini;Peter Salem,27.0,27,1
Mauro Castillo,30.0,30,1
Mauro Henrique,40.5,43,4
Mauro Ramos;Isaac Schneider;Miriam Peracchi;Geisa Vidal,25.0,25,1
Mauvais Roger,51.0,54,2
Mavado,25.21,54,39
Mavi,22.75,47,4
Mavi Gri,43.0,43,1
Mavi Işıklar,32.4,39,5
Mavis Hee,49.86,51,7
MAW,41.0,46,4
MAX,32.88,76,8
Max Boyce,21.5,22,2
Max Brhon,43.62,59,8
Max Casella,26.0,26,1
Max Cooper,45.78,48,9
Max e Luan,46.3,62,10
Max Enforcer,21.0,23,4
Max Fail;MEYSTA;LANNÉ,42.0,42,1
Max Fane,27.0,54,2
Max Herre;Panta Rhei;Dexter,40.0,40,1
Max Manie,56.0,56,1
Max Richter,31.32,65,38
Max Romeo;The Upsetters,41.0,63,3
Max Torres,31.0,31,1
Max Viana,40.0,40,1
Max Weidner,26.2,29,5
Max Wells,44.0,44,1
Maxel,30.0,30,1
Maxence Cyrin,38.6,64,5
Maxi Rozh,27.0,27,1
Maxida Märak,39.0,40,3
Maximilian Sievert,60.0,60,1
Maximillian,59.5,70,12
MAXIMUM THE HORMONE,46.67,60,3
Maxtreme,24.0,25,3
Maxx,60.0,60,1
May Kristin Krispersen,25.0,25,1
May of Sorrow,24.67,26,6
Maya Kristalinskaya,21.33,31,6
Maya Åström,62.0,62,1
Maybeshewill,46.0,46,1
Mayck & Lyan,47.17,50,6
Mayday,51.88,59,17
Mayday Parade;Vic Fuentes,62.0,62,1
Mayhem,44.67,56,6
Maylene And The Sons Of Disaster,26.5,27,2
Mayte Gaos,30.75,33,4
Mayu Watanabe,23.33,25,3
Mayumi Sasaki,49.0,49,1
MAYUMI SUZUKI,28.5,31,4
Mazapán,39.0,39,2
Mazare;Philip Strand,44.25,46,4
Maze;Frankie Beverly,36.33,39,3
mazie,77.0,79,3
Mazoulew;Handbook;Dokkodo Sounds,52.0,53,2
mazurka,27.0,27,1
Mazzy Star,20.5,79,8
MBNN;Rowald Steyn,62.0,62,1
MBW,38.0,38,1
MC 張天賦,59.0,66,8
MC 3L,42.0,42,1
MC 900 Ft. Jesus,24.0,24,1
Mc Anjim;MC Rick;MC Saci;MC Braian;Mc Morena;Dj Nattan;Dj Tg Da Inestan;Gui Marques,44.0,44,1
MC Arraia;DJ Guih Da ZO,45.0,45,1
MC BN;DJ Silvério;DJ Ery;MC Guto VGS;MC MN,8.75,24,4
MC Bomber;Shacke One,38.0,38,1
MC Bruninho;Vitinho Ferrari;Dj DG;Batidão Stronda,61.0,61,1
Mc Bruninho da Praia,46.25,50,4
MC Cabelinho,46.33,51,9
MC Caja;Mc Gibi,43.0,43,1
MC Cebezinho,44.0,46,2
MC CH da Z.O;Bala da Tropa;Milly Explosão;DN do Recife,0.0,0,1
MC Couper;Kalla Sha,24.0,32,5
Mc Daleste;Studio Thg,42.0,42,1
Mc Davi,45.71,50,14
Mc DB,42.0,42,1
Mc Delux;DJ TS;Dj Guuh,43.0,43,1
Mc Don Juan,45.33,50,3
Mc Felipe Boladão,43.67,47,3
MC Fioti,65.0,69,2
Mc Frog;Mc DB;Mc Laranjinha;Mc Junior Pk,42.0,42,1
MC GP,45.4,61,5
MC Guto VGS;MC Pê Original;DJ Roca;DJ Andrômeda,10.5,21,2
Mc Gw;DJ Biel Beats;Mc Topre,28.0,42,3
MC Hariel,45.44,55,27
MC HotDog,45.5,47,2
Mc IG,49.18,56,11
MC Igão;MC Meno K;Dj Chulo,48.0,48,1
MC Igu,47.0,47,1
MC Iguinho da Capital,45.0,46,2
MC Ingryd;Mandragora,60.0,60,1
mc jhenny;DJ Ruan da VK;Rafael Foxx;IURY FERNANDES,22.0,22,1
Mc Jhojhow,43.0,43,1
MC Joãozinho VT,44.62,55,8
Mc Kadu;Dj Victor,44.45,53,11
MC Kaique da VP,63.0,63,1
Mc Kako,49.14,57,7
Mc Kanhoto;DJ Faveliano,46.5,52,4
MC Kapela,43.0,43,1
Mc Kauan,44.0,44,1
Mc Kautry;DJ Guh Mix,45.0,45,1
Mc Kaverinha;DJ Biel Bolado,45.0,45,1
Mc Kelvinho,44.0,46,4
Mc Kevin,46.91,54,22
MC Kevin o Chris,61.5,80,2
MC Kevinho,70.0,70,1
MC Koringa,42.0,42,1
MC L da Vinte;MC Gury,69.0,69,1
Mc Lele JP,47.33,52,6
MC Lemos;MC Liro;MC Torugo;Mc Digo STC,45.0,45,1
MC Leozinho;DJ Marlboro,43.0,43,2
MC Levin,58.0,58,1
Mc Lipi,44.33,47,3
MC Liro;MC BHS;Love Funk,42.0,42,1
MC Luan da BS;Delano,44.0,46,2
MC Lyte,0.0,0,5
Mc Magal,44.0,45,3
Mc Magrinho;DJ RC;MC NAHARA,45.0,45,1
MC Maneirinho;AJ Wav,42.0,42,2
MC Marks,44.5,48,4
MC Mazzie;DJ NpcSize;DJ Wizard,60.0,75,2
MC Meno K;DJ Gbeats,44.0,45,2
MC Menor da VG,47.0,47,1
Mc Nasrani,21.0,21,1
Mc Nathan ZK;Mc Lipi,42.0,42,1
MC Neguinho BDP,44.0,44,1
MC Neguinho do Kaxeta,44.42,51,12
Mc Orelha,46.0,46,1
Mc Paiva ZS;MC Tinho da Sul;Dj chaves,53.0,53,1
MC Paulin da Capital,46.11,54,9
MC PH;KayBlack;Mc Kevin,49.33,56,3
Mc PP da VS,45.0,48,2
MC Qiru;Nirujan;Vernon G Segaram,27.0,27,1
MC Rage;HC,21.0,21,1
Mc Rd;JIRAYAUAI;Mc THzinho original,42.0,42,1
MC Rhamon,47.5,50,2
MC Rick,44.5,47,4
MC RN do Capão;MC GH MAGRÃO,43.0,43,1
MC Rodolfinho;Mc Danado;MC Guime;MC Lon;Mc Nego Blue;Mc Boy do Charmes;Mc B.o;DJ Will SP,42.0,42,1
MC Roger,43.0,43,1
MC Rogerinho,44.0,44,1
Mc Roginho;Raphaela Santos,47.0,47,1
MC Ryan SP,46.9,55,10
MC Saci,42.33,43,3
Mc Souza;MC MENOR MT,51.0,51,1
MC SQUARE,59.0,61,2
MC STAN,61.5,67,10
Mc_team,25.38,30,13
MC Teteu;JC NO BEAT;DJ F7,43.0,43,1
Mc Th,43.0,43,3
Mc Tha,43.71,45,7
Mc Tikão;Djonga;JR ON;MC Cabelinho,44.5,47,2
MC Tinho da Sul;Dj Chaves,44.0,44,1
Mc Tocha;Raphaela Santos,50.0,50,1
MC Tuto;DJ Gu;MC JSP;MC André DK,22.0,44,2
MC V7;MC Gui Gomes,47.0,47,1
MC Vinny;Mc Lele JP;Mc Kako;MC Lemos;Dj GM;Oldilla,44.0,44,1
MC Virgins,58.71,68,7
Mc Vitão Do Savoy;Mc Magal;Mc Neguin da VL;Mc Kadu;Salvador Da Rima;Dj Murillo e LT no Beat,49.0,49,1
Mc Vzs;DJ Vilão,47.0,49,3
McCoy Tyner,59.0,59,1
MDFMK,21.0,21,1
≠ME,27.32,50,28
Me And That Man;John Porter,21.0,21,1
Me First and the Gimme Gimmes,33.1,35,10
me7k,58.33,62,6
Meadows,57.0,57,1
meadowzz,25.18,42,11
Mean Jeans,26.6,29,5
Meat Beat Manifesto,23.0,23,2
Meat Katie;Christian J;Dylan Rhymes,14.0,14,1
Meatbodies,26.0,26,1
Mecano,70.5,72,2
Meccano Twins,18.6,20,5
Mediha Demirkıran,39.0,39,1
Medina,32.5,39,6
Medina Azahara,56.0,56,1
Meditación: Por Mateo;Meditaciónessa,21.0,21,2
Meditation Music Zone,32.0,32,1
Meditation Rain Sounds;Massage Tribe;Perfect Meditation;Relaxing Water Sounds,0.0,0,10
Meditation Relaxation Club,32.0,32,1
Meditation Spa,33.33,42,9
Medooza;PAWLIE POIZN,33.0,34,3
Medulla,35.67,39,6
MEDUZA;Becky Hill;Goodboys,25.85,85,59
Medwyn Goodall,20.0,20,1
MEDZ,41.0,41,2
Medz Boss,26.0,26,1
Mee Wee,14.0,14,1
Meeresrauschen,35.64,52,28
Mees Salomé,44.0,46,3
Meet Bros.;Roach Killa;Khushboo Grewal;Arijit Singh,60.25,63,8
Mefjus,32.8,58,5
Meg Birch,43.0,43,2
Meg & Dia,56.0,56,1
Mega Banton;Salaam Remi,28.0,28,1
Megadeth,26.71,74,41
Megadriver,22.0,24,2
Megafone,37.0,37,1
Megahit,17.0,17,1
Megaloh;Oga Beats,40.0,41,3
Megan Davies,54.0,54,1
Megan McKenna,58.0,58,1
Megan Moroney,78.0,78,1
Megan Thee Stallion;Future,0.36,2,14
MegaR,35.71,39,7
Megaraptor,20.5,21,2
Meghdhanush,40.33,44,3
Megumi Hayashibara,38.0,38,1
Megustar,32.0,32,1
Mehdi Jalali,1.0,1,1
Mehdi Khayami;Kelariz Keshavarz,0.0,0,5
mehro,62.29,71,14
Meiko,43.5,56,2
Meitei,50.33,51,3
meiyo,60.0,60,1
Mejk,34.0,34,1
Mekon;Afrika Bambaataa,16.0,21,2
Melé,44.67,57,3
Mel Com Terra,37.0,37,1
Mel & Kim,57.0,57,1
Mel Tormé,0.0,0,9
Mel Waiters,32.0,32,1
Mel Wayne,27.0,27,1
Melanie Müller,24.0,24,1
Melanie Martinez,32.47,80,19
Melcochita,28.0,28,1
Melek Mosso,40.67,42,3
Melendi,60.64,74,14
MELER;Lérica,54.0,54,1
Melih Aydogan;Ria,47.67,50,6
Melihat Gülses,37.0,37,1
Melike Şahin,41.0,42,6
Melim,43.0,47,5
Melingo,21.0,21,1
Melissa Horn,37.14,42,14
Mellodees,48.0,60,3
Mellow Fellow,55.0,56,2
Mellow Melodies,21.0,21,1
Mellowdy,58.5,60,2
Melocos;Natalia Jiménez,0.0,0,1
Melody Club,25.33,26,3
Melody Gardot;FKJ,0.0,0,1
Melody's Echo Chamber,47.25,49,4
Melodycans,33.0,34,2
MeloMance,60.5,67,2
Melorman,13.12,30,16
Melotron,23.0,23,1
"Melvin Taylor;Lucky Peterson;Titus Williams;Ray ""Killer"" Allison",53.5,55,2
MEMBA;EVAN GIIA;Nooran Sisters,54.22,59,9
Memphis La Blusera,37.67,42,9
Memphis May Fire,14.17,17,6
Memtrix,43.0,43,1
Men I Trust,79.0,79,2
Men Without Hats,61.5,63,2
Mena Massoud,54.0,64,4
Menahan Street Band,45.14,64,7
Mendum,40.0,46,4
Mengers,27.0,27,1
Meno Tody;Mc Kevin,45.0,45,1
