artists,artist_popularity_api,artist_peak_popularity,artist_track_count
Alison Moyet,24.0,24,2
Alison Wonderland,57.0,59,3
Alix Perez,18.43,23,7
Alka Yagnik;Udit Narayan,50.75,73,73
Alkaline,21.85,43,26
Alkehol,37.0,38,3
Alkpote;Caballero & JeanJass,34.0,34,1
All 4 Kids,30.67,53,3
All About Eve,22.0,22,1
All Angels,20.0,22,3
All Good Things,65.0,65,1
All Ok,48.0,52,7
All Sons & Daughters;Leslie Jordan;David Leonard,58.5,60,2
All That Remains,49.0,65,7
All Time Low,24.68,77,38
Alla Bayanova,0.6,1,5
Allame,40.22,45,9
Allan Holdsworth;Alan Pasqua;Chad Wackerman;Jimmy Haslip,3.0,3,1
Allan Soderbergh,45.0,45,1
Alle Farben;PollyAnna,19.11,69,19
Allen Toussaint,0.0,0,2
Allen Watts,41.0,42,4
Allessa,0.0,0,8
Alligatoah,41.0,41,1
Allison,38.17,41,12
Allman Brothers Band,13.12,72,17
Allman Brown,48.33,54,6
Allo Darlin',13.67,19,3
Allyawan,24.43,29,7
Almafuerte,26.58,41,103
Almanac,29.0,29,1
ALMAR,42.33,43,3
Almeyda,27.75,29,4
Almighty;Manny Montes,39.0,39,2
Almir Bezerra,38.0,38,1
Almir Guineto,37.5,40,4
Almir Sater,43.75,50,16
Almklausi,6.85,32,13
Almo X,28.4,33,5
Aloe Blacc,0.0,0,6
Alogte Oho & His Sounds of Joy,18.0,18,1
Alok;Alan Walker;KIDDO,54.85,84,20
Alone At Last,37.25,40,4
Alonzo,15.8,79,5
Alonzo Bodden,22.0,22,2
Alpha,19.5,20,2
ALPHA 9;Scorz;Tom Bailey,46.0,55,5
Alpha Portal,40.5,43,2
Alpha Wann,35.0,35,1
Alpha Wolf,56.0,58,4
Alphaville,65.0,72,6
Alphawezen,40.0,40,1
Alphaxone,8.83,19,114
Alphonse Puthren;Vineeth Sreenivasan,25.0,25,1
Alptam,40.0,40,1
Alquimia La Sonora Del XXI,31.17,36,6
Alrahim Wright III,58.5,59,4
Alt Bloom,58.0,58,1
Altamira;Stanley Castro;Thebosh,45.0,45,1
Alter Bridge,53.02,67,43
Altero;NVRT,50.33,56,3
Althaír & Alexandre,45.0,45,1
Althea And Donna,37.0,37,1
Altijd Larstig & Rob Gasd'rop;Hardstyle Carnaval,29.0,32,2
Alugiana,44.0,47,3
alva noto;Ryuichi Sakamoto,13.59,41,34
Alvaro Diaz,7.65,75,55
Alvaro Soler,0.75,3,12
Alvin Lee,40.0,40,2
Alvin & The Chipmunks;David Seville,9.87,55,15
Alvino Rey,22.0,22,1
Alvize Fantacone,55.0,55,1
Always Never,54.0,54,1
Aly & Fila,16.86,46,7
Şam,41.78,50,9
Amaal Mallik;Arijit Singh;Tulsi Kumar,63.79,71,14
Amaarae;Kali Uchis;Moliy,49.75,79,4
Amado Batista,47.29,53,14
Amadou & Mariam,0.0,0,7
Amaia Montero,0.0,0,1
Amal Antony Agustin,39.0,39,1
AMAN,55.0,55,1
Amanajé Sound System;Monkey Jhayam,26.0,26,1
Amanda Ferrari,43.5,48,4
Amanda Holden,18.5,19,2
Amanda Jenssen,35.0,35,1
Amanda Loyola,41.0,41,1
Amanda Wanessa,38.67,40,3
Amandeep Singh,45.0,45,1
Amantej Hundal;Karan Aujla,59.0,59,1
Amar Arshi;Badshah;Neha Kakkar;Indeep Bakshi;Prem & Hardeep,69.0,69,1
Amar Sandhu,61.0,61,1
Amaral,57.0,60,3
Amaranthe,43.75,63,16
AMARIA BB,44.48,71,21
Amartya Bobo Rahut,40.5,46,10
Amatsuki,2.0,2,1
Amaury Vassili,21.33,25,3
Amaya Hnos,31.5,34,4
amazarashi,53.54,61,13
Amb,14.0,21,9
Ambeon,22.0,22,1
Amber Efe;Kate Shindle;Laura Bell Bundy;'Legally Blonde' Ensemble;Manuel Herrera;Matthew Risch,54.0,54,1
Amber Leigh Irish,51.75,57,4
Amber Mark,0.0,0,8
Amber Run,69.33,74,3
Ambient Nature White Noise;ASMR Rain Sounds;Rain Hard,37.0,37,1
Ambient Rain;Rain Sleep Sounds,42.0,42,1
Amduscia,23.0,25,2
Amel Bent,33.0,33,2
Amelie Lens,43.5,52,18
Amelinha,44.0,47,6
Amelita Baltar;Aldo Saralegui,23.8,28,5
America,25.33,76,6
American Authors,75.75,79,4
American Football,60.0,60,1
American Head Charge,23.0,23,1
Ametsub,10.25,15,4
Ami Mishra,69.0,70,2
Ami Warning,39.0,39,1
Amilcar Boscan,31.25,39,4
Amilcare Ponchielli;Gothenburg Symphony Orchestra;Neeme Järvi,42.67,56,3
Amindi,53.0,53,1
Amir;Indila,58.0,58,1
Amir Obe,61.0,61,1
Amira Willighagen;Corlea,24.0,24,1
Amistades Peligrosas,27.0,27,1
Amit Trivedi,63.22,71,18
AMK,36.0,36,1
Ammy Virk,62.5,63,2
Amnesys,17.33,19,3
Amon Amarth,43.26,63,19
Amon Tobin,47.33,49,3
AMONGST THE ASHES,0.6,3,10
Amor de la luna,57.0,57,1
Amores Tangos,18.25,21,4
Amorphis,21.71,23,7
Amos Lee,62.0,64,2
Amplexos;Digitaldubs;Leão Etíope do Méier;Lenine,23.0,23,1
AmPm;Michael Kaneko,44.5,53,6
Amrit Maan;Nimrat Khaira,59.75,63,4
Amy Adams,25.5,31,2
Amy Liz,38.83,58,12
Amy Macdonald,5.85,75,26
Amy Samu,48.0,48,1
Amy Spanger,27.25,30,4
Amy Stroup,46.0,46,1
Amy Wadge,27.5,28,2
Amy Winehouse,69.05,81,19
Aníbal Arias,18.0,18,1
Aníbal Troilo,18.63,31,19
Aníbal Troilo Y Su Orquesta Típica;Roberto Goyeneche,19.58,28,12
Şanışer,41.67,47,21
Anıl Durmuş,39.0,39,1
Anıl Emre Daldal,75.0,75,1
Anıl Piyancı,29.14,47,7
An On Bast,12.0,13,2
Ana Belén,16.0,32,2
Ana Carolina,39.5,40,6
Ana Diaz,38.0,38,1
Ana Gabriela,44.5,45,2
Ana Mena,65.14,79,7
Ana Torroja,26.31,33,16
Ana Vilela,41.0,41,1
